Library,BarCode,Category,Read
SLX-10402,D705_D508,Mapped,71265318
SLX-10402,D706_D501,Mapped,57833373
SLX-10402,D706_D502,Mapped,57033758
SLX-10402,D706_D503,Mapped,61485117
SLX-10402,D706_D504,Mapped,82387312
SLX-10402,D706_D505,Mapped,73622277
SLX-10402,D706_D506,Mapped,77981407
SLX-10402,D706_D507,Mapped,72348026
SLX-10402,D706_D508,Mapped,61391808
SLX-10402,D707_D501,Mapped,73325901
SLX-10402,D707_D502,Mapped,72652809
SLX-10402,D707_D503,Mapped,65233550
SLX-10402,D707_D504,Mapped,77956932
SLX-10402,D707_D505,Mapped,70680732
SLX-10402,D707_D506,Mapped,61328624
SLX-10402,D707_D507,Mapped,61700151
SLX-10402,D707_D508,Mapped,58580045
SLX-10402,D704_D501,Rescued,31786028
SLX-10402,D704_D502,Rescued,29646950
SLX-10402,D704_D503,Rescued,26401157
SLX-10402,D704_D504,Rescued,34631208
SLX-10402,D704_D505,Rescued,32811658
SLX-10402,D704_D506,Rescued,25577021
SLX-10402,D704_D507,Rescued,27819596
SLX-10402,D704_D508,Rescued,26912726
SLX-10402,D705_D501,Rescued,25814060
SLX-10402,D705_D502,Rescued,24119132
SLX-10402,D705_D503,Rescued,29515488
SLX-10402,D705_D504,Rescued,34417653
SLX-10402,D705_D505,Rescued,31340695
SLX-10402,D705_D506,Rescued,27258875
SLX-10402,D705_D507,Rescued,31567818
SLX-10402,D705_D508,Rescued,37078071
SLX-10402,D706_D501,Rescued,26902115
SLX-10402,D706_D502,Rescued,29694426
SLX-10402,D706_D503,Rescued,37941809
SLX-10402,D706_D504,Rescued,40270172
SLX-10402,D706_D505,Rescued,36684705
SLX-10402,D706_D506,Rescued,34973041
SLX-10402,D706_D507,Rescued,35945918
SLX-10402,D706_D508,Rescued,33215681
SLX-10402,D707_D501,Rescued,40965268
SLX-10402,D707_D502,Rescued,43938888
SLX-10402,D707_D503,Rescued,37361267
SLX-10402,D707_D504,Rescued,40532629
SLX-10402,D707_D505,Rescued,36953736
SLX-10402,D707_D506,Rescued,32110181
SLX-10402,D707_D507,Rescued,36834122
SLX-10402,D707_D508,Rescued,38179929
SLX-10402,D704_D501,Unmapped,7470487
SLX-10402,D704_D502,Unmapped,6593851
SLX-10402,D704_D503,Unmapped,5816239
SLX-10402,D704_D504,Unmapped,7363606
SLX-10402,D704_D505,Unmapped,7704991
SLX-10402,D704_D506,Unmapped,7137887
SLX-10402,D704_D507,Unmapped,6512988
SLX-10402,D704_D508,Unmapped,6564468
SLX-10402,D705_D501,Unmapped,5916060
SLX-10402,D705_D502,Unmapped,6236675
SLX-10402,D705_D503,Unmapped,6796176
SLX-10402,D705_D504,Unmapped,7367369
SLX-10402,D705_D505,Unmapped,7537939
SLX-10402,D705_D506,Unmapped,6388987
SLX-10402,D705_D507,Unmapped,7350057
SLX-10402,D705_D508,Unmapped,7721931
SLX-10402,D706_D501,Unmapped,6355793
SLX-10402,D706_D502,Unmapped,6630696
SLX-10402,D706_D503,Unmapped,7702163
SLX-10402,D706_D504,Unmapped,9197713
SLX-10402,D706_D505,Unmapped,8148300
SLX-10402,D706_D506,Unmapped,8432505
SLX-10402,D706_D507,Unmapped,7877454
SLX-10402,D706_D508,Unmapped,6766460
SLX-10402,D707_D501,Unmapped,7606047
SLX-10402,D707_D502,Unmapped,8821571
